City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
256,jamestown,42.097,-79.2353,60.44,93,0,6.91,US,1696035921
257,thoothukudi,8.8054,78.1453,79.09,83,75,5.75,IN,1696035921
258,palmer,42.1584,-72.3287,53.85,86,100,9.22,US,1696035921
259,zhangjiakou,40.81,114.8794,54.59,49,5,7.81,CN,1696035921
260,keflavik,64.0049,-22.5624,41.43,87,20,6.91,IS,1696035921
261,ambikapur,23.1167,83.2,74.46,89,99,1.23,IN,1696035921
262,waingapu,-9.6567,120.2641,84.13,55,94,12.28,ID,1696035921
263,gadzhiyevo,69.2551,33.3362,50.02,94,100,7.74,RU,1696035921
264,egilsstadir,65.2653,-14.3948,39.11,93,100,2.3,IS,1696035922
265,wad medani,14.4012,33.5199,85.39,43,4,8.14,SD,1696035922
266,nuuk,64.1835,-51.7216,34.41,100,100,11.01,GL,1696035922
267,hilo,19.7297,-155.09,83.93,71,40,9.22,US,1696035922
268,leninskoye,41.7589,69.3864,56.61,47,8,5.44,KZ,1696035922
269,piraju,-23.1936,-49.3839,63.99,83,5,9.69,BR,1696035902
270,lamia,38.9,22.4333,70.88,68,17,3.0,GR,1696035922
271,cova figueira,14.8905,-24.2934,77.22,78,90,9.4,CV,1696035922
272,susuman,62.7833,148.1667,28.49,68,71,3.96,RU,1696035922
273,polyarnyy,69.1989,33.4478,50.34,95,100,7.05,RU,1696035922
274,harstad,68.799,16.5293,51.8,97,100,8.01,NO,1696035923
275,pisco,-13.7,-76.2167,64.45,88,0,17.27,PE,1696035923
276,orange cove,36.6244,-119.3137,83.5,37,0,3.44,US,1696035923
277,fuglafjordur,62.244,-6.814,46.87,89,100,25.14,FO,1696035923
278,east london,-33.0153,27.9116,68.45,56,100,4.25,ZA,1696035687
279,labrador city,52.9463,-66.9114,40.91,87,0,4.61,CA,1696035923
280,pathein,16.7833,94.7333,75.67,98,100,7.61,MM,1696035923
281,olyokminsk,60.3736,120.4264,48.2,60,79,4.59,RU,1696035923
282,narasapur,16.45,81.6667,78.76,91,100,6.15,IN,1696035924
283,qamdo,31.1667,97.2333,44.04,62,2,5.06,CN,1696035924
284,caldwell,43.6629,-116.6874,73.54,35,0,10.36,US,1696035734
285,holualoa,19.6228,-155.9522,82.78,75,40,13.8,US,1696035924
286,takoradi,4.8845,-1.7554,76.71,91,100,5.21,GH,1696035924
287,kloulklubed,7.0419,134.2556,86.5,82,71,17.52,PW,1696035924
288,novodvinsk,64.4165,40.8122,51.64,97,100,7.9,RU,1696035924
289,houthulst,50.9637,2.8986,55.94,98,98,1.99,BE,1696035924
290,sinop,41.7711,34.8709,58.41,89,73,0.98,TR,1696035924
291,nizhnesortymskiy,62.4397,71.7603,29.8,82,9,8.79,RU,1696035924
292,durazno,-33.4131,-56.5006,52.07,91,36,13.73,UY,1696035924
293,yasothon,15.75,104.1333,75.67,93,100,2.75,TH,1696035924
294,beloyarskiy,63.7119,66.6722,34.0,75,38,4.0,RU,1696035925
295,novaya igirma,57.1334,103.9112,46.0,91,100,5.21,RU,1696035925
296,geraldton,-28.7667,114.6,64.81,68,40,4.61,AU,1696035717
